INFO 2025-09-11 15:10:34,826 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:10:35,484 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 15:10:35,813 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:10:51,347 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:10:51,394 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:11:02,876 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:11:03,584 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 15:11:03,942 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:22:57,361 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 15:23:07,942 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 15:27:38,872 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 15:30:05,762 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 15:30:44,208 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 15:30:58,902 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 15:31:22,785 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 15:31:30,792 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 15:32:07,274 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:32:07,898 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 15:32:08,276 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:37:35,245 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:37:35,943 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 15:37:36,331 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:37:52,439 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 15:38:01,197 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:38:01,814 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 15:38:02,181 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:38:27,104 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:38:27,146 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:38:40,521 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:38:40,568 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:38:49,611 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:38:50,228 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 15:38:50,656 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:41:23,855 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:41:24,471 NE_RS_UNBLDRE: Unable to load application resource file /resources/js/custom-elements.js api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 15:41:24,551 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 15:41:24,856 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:41:34,024 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:41:34,064 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:41:50,694 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:41:50,808 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:41:55,488 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:41:55,564 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:42:04,458 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:42:04,534 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:45:31,600 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:45:31,662 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:46:43,937 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:46:43,973 NE_RS_UNBLDRE: Unable to load application resource file /resources/resources/icons/logo.gif api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 15:46:43,989 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:46:56,002 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:46:56,037 NE_RS_UNBLDRE: Unable to load application resource file /resources/resources/icons/appIcon.png api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 15:46:56,051 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:47:20,529 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:47:20,567 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:54:10,704 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:54:10,812 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:54:51,289 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:54:51,353 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
